Mass,Position,Velocity,Acceleration
49735,"[-4820.345071607112, 4176.500615423518, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
45735,"[-4820.345071607112, 4176.500615423518, 0.0]","[-0.9508123961352427, -0.12159143910639486, 0.0]","[-0.9508123961352427, -0.12159143910639486, 0.0]"
41735,"[-4821.295884003247, 4176.379023984412, 0.0]","[-1.985430900579639, -0.2532561207277556, 0.0]","[-1.034618504444396, -0.13166468162136077, 0.0]"
37735,"[-4823.281314903827, 4176.125767863684, 0.0]","[-3.119920705645333, -0.39692282576101723, 0.0]","[-1.1344898050656942, -0.14366670503326162, 0.0]"
33735,"[-4826.401235609472, 4175.728845037923, 0.0]","[-4.3754556761811205, -0.5551341891865069, 0.0]","[-1.2555349705357872, -0.15821136342548975, 0.0]"
29735,"[-4830.776691285653, 4175.173710848736, 0.0]","[-5.780741296874438, -0.7313378962544179, 0.0]","[-1.405285620693317, -0.17620370706791094, 0.0]"
25735,"[-4836.557432582527, 4174.4423729524815, 0.0]","[-7.376067308312282, -0.9303737513669612, 0.0]","[-1.5953260114378442, -0.19903585511254326, 0.0]"
25735.0,"[-4843.93349989084, 4173.511999201114, 0.0]","[-7.368674730701479, -0.9367542724885923, 0.0]","[0.007392577610803082, -0.006380521121631167, 0.0]"
25735.0,"[-4851.302174621541, 4172.575244928626, 0.0]","[-7.361288159554423, -0.9431184826875078, 0.0]","[0.007386571147055835, -0.0063642101989153845, 0.0]"
25735.0,"[-4858.663462781095, 4171.632126445938, 0.0]","[-7.353907587624609, -0.9494664400655739, 0.0]","[0.007380571929814547, -0.006347957378066136, 0.0]"
25735.0,"[-4866.01737036872, 4170.682660005873, 0.0]","[-7.346533007638414, -0.9557982024457718, 0.0]","[0.007374579986195031, -0.006331762380197914, 0.0]"
25735.0,"[-4873.363903376358, 4169.726861803427, 0.0]","[-7.339164412295593, -0.9621138273738339, 0.0]","[0.007368595342821506, -0.0063156249280620575, 0.0]"
25735.0,"[-4880.703067788654, 4168.764747976053, 0.0]","[-7.331801794269761, -0.9684133721198693, 0.0]","[0.0073626180258323775, -0.00629954474603549, 0.0]"
25735.0,"[-4888.034869582924, 4167.796334603932, 0.0]","[-7.324445146208874, -0.9746968936799789, 0.0]","[0.007356648060885985, -0.006283521560109566, 0.0]"
25735.0,"[-4895.359314729133, 4166.821637710253, 0.0]","[-7.317094460735708, -0.9809644487778579, 0.0]","[0.007350685473166245, -0.006267555097878986, 0.0]"
25735.0,"[-4902.6764091898685, 4165.840673261475, 0.0]","[-7.30974973044832, -0.9872160938663888, 0.0]","[0.0073447302873882805, -0.00625164508853083, 0.0]"
25735.0,"[-4909.9861589203165, 4164.853457167608, 0.0]","[-7.3024109479205155, -0.9934518851292223, 0.0]","[0.0073387825278039215, -0.00623579126283362, 0.0]"
25735.0,"[-4917.288569868237, 4163.860005282479, 0.0]","[-7.295078105702308, -0.9996718784823488, 0.0]","[0.007332842218207198, -0.006219993353126531, 0.0]"
25735.0,"[-4924.583647973939, 4162.860333403996, 0.0]","[-7.287751196320369, -1.0058761295756575, 0.0]","[0.007326909381939753, -0.0062042510933086395, 0.0]"
25735.0,"[-4931.87139917026, 4161.85445727442, 0.0]","[-7.280430212278473, -1.0120646937944857, 0.0]","[0.007320984041896177, -0.00618856421882828, 0.0]"
25735.0,"[-4939.151829382538, 4160.8423925806255, 0.0]","[-7.273115146057943, -1.018237626261158, 0.0]","[0.007315066220529285, -0.0061729324666724575, 0.0]"
25735.0,"[-4946.424944528596, 4159.8241549543645, 0.0]","[-7.265805990118088, -1.0243949818365146, 0.0]","[0.007309155939855377, -0.006157355575356384, 0.0]"
25735.0,"[-4953.690750518714, 4158.799759972528, 0.0]","[-7.258502736896629, -1.0305368151214276, 0.0]","[0.007303253221459363, -0.006141833284913046, 0.0]"
25735.0,"[-4960.9492532556105, 4157.7692231574065, 0.0]","[-7.25120537881013, -1.0366631804583104, 0.0]","[0.007297358086499886, -0.00612636533688288, 0.0]"
25735.0,"[-4968.200458634421, 4156.732559976948, 0.0]","[-7.243913908254415, -1.042774131932614, 0.0]","[0.007291470555714372, -0.006110951474303539, 0.0]"
25735.0,"[-4975.444372542675, 4155.689785845016, 0.0]","[-7.236628317604991, -1.0488697233743138, 0.0]","[0.00728559064942401, -0.006095591441699698, 0.0]"
25735.0,"[-4982.681000860281, 4154.640916121642, 0.0]","[-7.229348599217452, -1.0549500083593868, 0.0]","[0.007279718387538698, -0.0060802849850729885, 0.0]"
25735.0,"[-4989.910349459498, 4153.585966113282, 0.0]","[-7.22207474542789, -1.0610150402112788, 0.0]","[0.0072738537895619074, -0.006065031851891957, 0.0]"
25735.0,"[-4997.132424204926, 4152.52495107307, 0.0]","[-7.214806748553294, -1.067064872002361, 0.0]","[0.007267996874595499, -0.006049831791082145, 0.0]"
25735.0,"[-5004.347230953479, 4151.457886201068, 0.0]","[-7.20754460089195, -1.0730995565553771, 0.0]","[0.007262147661344507, -0.006034684553016219, 0.0]"
25735.0,"[-5011.554775554371, 4150.384786644512, 0.0]","[-7.200288294723828, -1.0791191464448813, 0.0]","[0.007256306168121827, -0.006019589889504184, 0.0]"
25735.0,"[-5018.755063849095, 4149.305667498067, 0.0]","[-7.193037822310975, -1.085123693998665, 0.0]","[0.007250472412852888, -0.006004547553783674, 0.0]"
25735.0,"[-5025.948101671405, 4148.220543804068, 0.0]","[-7.185793175897895, -1.0911132512991752, 0.0]","[0.00724464641308025, -0.005989557300510307, 0.0]"
25735.0,"[-5033.133894847303, 4147.129430552769, 0.0]","[-7.178554347711927, -1.0970878701849234, 0.0]","[0.007238828185968157, -0.005974618885748135, 0.0]"
